sales_price,price_tier,year,vehicle_age,make,model,trim,odometer_miles,fuel_type,exterior,interior,dealer_state,dealer_distance_miles,source_metro,feature_count,standard_feature_count
26995.0,near_market,2022,4,Honda,Civic,Sport Touring Hatchback CVT,19950,Gas,Rallye Red,Black,MI,631.0,detroit_mi,0,0
29988.0,near_market,2023,3,Honda,Civic,Sport Touring Hatchback CVT,13495,Gas,Sonic Gray Pearl,Black,WA,2478.0,seattle_wa,0,0
20678.0,below_market,2023,3,Honda,Civic,LX Hatchback CVT,40386,Gas,Crystal Black Pearl,Black,NH,15.0,boston_ma,0,0
27000.0,near_market,2025,1,Honda,Civic,Sport Hatchback CVT,860,Gas,Platinum White Pearl,Black,MI,627.0,detroit_mi,0,0
25854.0,near_market,2025,1,Honda,Civic,Sport Hatchback CVT,1497,Gas,Solar Silver Metallic,Black,TX,1697.0,austin_tx,0,0
24988.0,near_market,2022,4,Honda,Civic,Sport Hatchback CVT,28871,Gas,Sonic Gray Pearl,Black,WA,2478.0,seattle_wa,0,0
24988.0,near_market,2023,3,Honda,Civic,Sport Hatchback CVT,22765,Gas,Platinum White Pearl,Unknown,CA,2693.0,san-francisco_ca,0,0
26888.0,near_market,2024,2,Honda,Civic,Sport Hatchback CVT,13491,Gas,Sonic Gray Pearl,Black,CA,2692.0,san-francisco_ca,0,0
20999.0,below_market,2019,7,Honda,Insight,EX,42209,Hybrid,Gray,Unknown,CA,2678.0,san-francisco_ca,0,0
19981.0,below_market,2022,4,Honda,Insight,EX,41867,Hybrid,Gray,Unknown,WA,2475.0,seattle_wa,0,0
20500.0,near_market,2022,4,Honda,Insight,EX,52320,Hybrid,Navy,Ivory,MI,598.0,detroit_mi,0,0
25377.0,near_market,2022,4,Honda,Insight,Touring,28455,Hybrid,Cosmic Blue Metallic,Black,MI,630.0,detroit_mi,0,0
5499.0,below_market,2002,24,Dodge,Dakota,SLT Club Cab Regular Bed 4WD,173493,Gas,Bright Silver Metallic,Black,WA,2490.0,seattle_wa,0,0
6671.0,below_market,2005,21,Chrysler,Crossfire,Limited Roadster,91758,Gas,Black,Dark Slate Gray,WA,2464.0,seattle_wa,0,0
4495.0,below_market,2012,14,Chrysler,200,LX Sedan,112340,Gas,Deep Cherry Red Crystal Pearl,Black,MI,623.0,detroit_mi,0,0
8199.0,above_market,2012,14,Chrysler,200,Touring Sedan,99186,Gas,Crystal Blue Pearl,Black,MI,605.0,detroit_mi,0,0
